,gradient,error,factor,factor_relative_to_2019
2022-01,0.00816201326298769,0.0007258761071829567,2.491034144053356,3.736551216080034
2022-02,0.004149758944118668,0.0003262131679348543,1.2665001741992383,1.8997502612988575
2022-03,0.008481352866110747,0.0005933520501654624,2.5884961095386703,3.882744164308005
2022-04,0.006072872527457948,0.0004409958256365177,1.8534315408406812,2.7801473112610218
2022-05,0.004137303600366164,0.00046100404327761727,1.2626988220617572,1.8940482330926358
2022-06,0.006720347583625445,0.0005936832111935189,2.051039951948029,3.0765599279220437
2022-07,0.010890928331108196,0.0007674795873718512,3.3238949091462002,4.9858423637193
2022-08,0.012937540746449958,0.0012545422079718663,3.9485179331467344,5.922776899720102
2022-09,0.00946172569697755,0.0008206446090393035,2.887704419658165,4.331556629487247
2022-10,0.004189022487001324,0.0005274214025809522,1.2784833482992763,1.9177250224489146
2022-11,0.006154930089234288,0.000520909923756994,1.8784753849973135,2.81771307749597
2022-12,0.013639305331838962,0.000532614509841774,4.162695426733845,6.244043140100768
2023-01,0.005369371401501336,0.0002747548523696619,1.6387240576900814,2.458086086535122
2023-02,0.0033209833327723435,0.0002195715082655832,1.0135591069524696,1.5203386604287044
2023-03,0.004312376097750867,0.0003092670303917217,1.3161306843508842,1.9741960265263263
2023-04,0.0030874443431542424,0.0003283568926539863,0.9422833593689057,1.4134250390533585
2023-05,0.0031680666420633888,0.00026255605163577497,0.9668891634620548,1.4503337451930822
2023-06,0.0031851541655464996,0.0002790111102214845,0.9721042498705472,1.4581563748058208
2023-07,0.005332952404204353,0.00036170735626542077,1.6276090346147867,2.44141355192218
2023-08,0.002934572164028207,0.00025564462738639194,0.8956270007464989,1.3434405011197483
2023-09,0.004376666233652466,0.0003288859671557213,1.335751936914016,2.003627905371024
2023-10,0.004706888061518454,0.00030842527316201094,1.436535140986485,2.1548027114797277
2023-11,0.003323369856415972,0.00017142402975944907,1.0142874703709448,1.5214312055564172
2023-12,0.003820663748820218,0.00017831882551003764,1.1660608166880422,1.7490912250320632
2024-01,0.0017815197876252483,0.00011930163090907192,0.5437171536348029,0.8155757304522043
2024-02,0.0019232044494020986,0.00012719861548746234,0.586959098826839,0.8804386482402586
2024-03,0.002253510809356295,0.00018320285103694327,0.6877681019652013,1.031652152947802
2024-04,0.004996083120334847,0.00031659660433214524,1.5247970369907382,2.2871955554861074
2024-05,0.00276278831949967,0.00022611606399953075,0.8431988303516005,1.2647982455274007
2024-06,0.004366801377592805,0.0004108464636981163,1.3327411977153651,1.9991117965730476
2024-07,0.0029568157937916047,0.00025215988952900184,0.9024157230191728,1.3536235845287592
2024-08,0.0038388109568602466,0.00043702164544286924,1.1715993172258867,1.75739897583883
2024-09,0.002856523137988984,0.00026429681872048525,0.8718065556541754,1.3077098334812631
2024-10,0.004072006201189328,0.00032827042710821563,1.24277015426542,1.8641552313981298
2024-11,0.00260899374081516,0.0001507372748739489,0.7962609567744166,1.194391435161625
2024-12,0.004901616194324577,0.00029267263166170954,1.4959658735763814,2.2439488103645724
